Instruction,Input,Output
Write a Python program that will create a histogram of a given set of data.,"[0, 4, 5, 10, 11, 15]","import matplotlib.pyplot as plt 

# Data to plot
data = [0, 4, 5, 10, 11, 15]

# Create a histogram 
plt.hist(data, bins = [0,5,10,15,20])

# Label the x and y axis 
plt.xlabel(""Value"") 
plt.ylabel(""Number of Occurrences"") 

# Show the plot 
plt.show()"
"Create a Python program that will take a list of integers and output the sum, average, largest value, and smallest value of the list.","[-2, -4, 0, 5, 10]","list_input = [-2, -4, 0, 5, 10]

list_sum = sum(list_input)
print(""Sum: "" + str(list_sum))

list_average = sum(list_input) / len(list_input)
print(""Average: "" + str(list_average))

list_max = max(list_input)
print(""Largest value: "" + str(list_max))

list_min = min(list_input)
print(""Smallest value: "" + str(list_min))"
Create a Python program to remove the given item from a list.,"[1, 2, 3, 4], 2","def remove_item(lst, item):
    while item in lst:
        lst.remove(item)
    return lst

result = remove_item([1, 2, 3, 4], 2)
print(result)"
Write Python code to classify a lead email.,"The email content: ""Hello, I am interested in getting more information about your product.""","# Detect the intent of the email
intent = ""lead""

# Label the email
label = ""Lead"""
Construct a Python program to check if a given array of numbers is sorted in ascending order or not.,"[1, 2, 3, 4]","def is_sorted(arr):
    return arr == sorted(arr)

print(is_sorted([1, 2, 3, 4]))"
Create an algorithm in Python to print all the prime numbers between two given numbers.,"Range: (2, 10)","def printPrimeNumbers(start, end):
 
 for num in range(start, end + 1):
   if num > 1:
      for i in range(2, num):
          if (num % i) == 0:
              break
      else:
          print(num)
          
start = 2
end = 10
print(""Prime numbers between"", start, ""and"", end, ""are:"")
printPrimeNumbers(start, end)"
Create a python function to extract the intersection of two lists.,"listOne = [5,4,3]
listTwo = [3,2,1]","def intersection(listOne, listTwo):
    return list(set(listOne).intersection(set(listTwo)))"
Can you find the smallest number in a given list using Python?,"[4, 5, 6, 7, 8, 1, 2]","def smallest_num(lst):
   min_num = lst[0]
   
   for num in lst:
       if num < min_num:
           min_num = num
           
   return min_num

lst = [4, 5, 6, 7, 8, 1, 2]

print(smallest_num(lst))"
Devise an algorithm in Python that takes an array and returns a histogram of the occurrences of each element in the array.,"[1, 2, 1, 2, 3, 1, 3, 3]","def histogram(arr):
    hist = {}
    for num in arr:
        if num in hist:
            hist[num] += 1
        else:
            hist[num] = 1
    return hist"
create a function in Python that takes an array of integers and returns a string of the array in reverse order.,"[1, 3, 5, 7]","def reverse_list(arr):
    rev_arr = []
    for i in range(len(arr)-1,-1,-1):
        rev_arr.append(arr[i])
    return ''.join(map(str,rev_arr))

arr = [1, 3, 5, 7]
output_string = reverse_list(arr) 
print(output_string)"
"Construct a program, in Python code, to identify all the anagrams of a given word","word = ""eat""","def find_anagrams(word):
    word_list = list(word)
    anagrams = []
    for i in range(len(word_list)):
        for j in range(i+1,len(word_list)+1):
            anagram = ''.join(word_list[i:j])
            if anagram != '' and anagram != word and anagram not in anagrams:
                anagrams.append(anagram)
    return anagrams"
Create an algorithm in Python to count the number of unique elements in a list.,"[1, 2, 3, 1, 2]","def countUnique(arr):
    # create a lookup to keep track of elements
    lookup = set()
    # loop over list to add elements to set
    for elem  in arr:
        if elem not in lookup:
            lookup.add(elem)
    # return the length of the lookup set
    return len(lookup)

# test program
arr = [1, 2, 3, 1, 2]
print(countUnique(arr))"
"Given the following JSON input, write a Python program to calculate the average age of all the users.","[
  {
  ""name"": ""Alice"",
  ""age"": 25
  },
  {
  ""name"": ""Bob"",
  ""age"": 30
  },
  {
  ""name"": ""John"",
  ""age"": 20
  }
]","import json

users = json.loads(input)
total_age = 0
for user in users:
 total_age += user[""age""]

average_age = total_age / len(users)

print(f""Average age of users is {average_age}"")"
Relace a for loop with appropriate list comprehension in a Python program.,"list = [1, 2, 3, 4, 5, 6]","list = [x**2 for x in [1, 2, 3, 4, 5, 6]]"
Write a Python program to print food items along with their prices from a given dictionary of food items and prices.,"food_items = {
 'Burger': 3.99,
 'Fries': 1.99,
 'Pizza': 12.99 
}","for item, price in food_items.items():
 print(f'{item}: ${price}')"
Construct an algorithm in Python to sort the elements of an array in decreasing order.,"[4, 7, 1, 3, 5, 2]","def sortDecreasing(arr):
    for i in range(len(arr)): 
        for j in range(i+1, len(arr)): 
            if arr[i] < arr[j]: 
                arr[i], arr[j] = arr[j], arr[i] 
    return arr
arr = [4, 7, 1, 3, 5, 2]
print(sortDecreasing(arr))

# Output: [7, 5, 4, 3, 2, 1]"
Compile the following Python code using Python 3.,"print(""Hello, World!"")","python3 hello.py
# output: Hello, World!"
"Write a Python program to compute the sum of values of a given dictionary, where each item in the dictionary has a key and a value associated with it.","d = {
 'x': 9, 
 'y': 10, 
 'z': 15
}","def get_dict_sum(d): 
    summ = 0
    for key, val in d.items(): 
        summ += val
    return summ
print(get_dict_sum(d))"
Write a Python 3 script that reads input from stdin line by line and prints the number of occurrences of each word.,The quick brown fox jumps over the lazy dog,"import sys

dictionary={}

for line in sys.stdin:
 words_in_line = line.split()
 for word in words_in_line:
 word=word.lower()
 if word in dictionary:
 dictionary[word]+=1
 else:
 dictionary[word]=1

for word in dictionary:
 print(word +"":""+ str(dictionary[word]))"
"Generate a Python program that take a list y and a number n, and rotate y by n.","[1, 2, 3, 4, 5] and n = 2","def rotate(y , n):
    temp = y[0:n]
    for i in range (len(y) - n):
        y[i] = y[n + i]
    for i in range (n):
        y[i + len(y) - n] = temp[i]
    return y"
Create a program in Python to find the maximum value in a given sequence.,"[3, 4, 6, 2, 8, 9, 5]","def findMaxValue(arr):
    max_val = arr[0]

    for i in range(1, len(arr)):
        if arr[i] > max_val:
            max_val = arr[i]

    return max_val

arr = [3, 4, 6, 2, 8, 9, 5]
maxValue = findMaxValue(arr)
print('Max value in given array is: {}'.format(maxValue))"
Generate Python code to remove all punctuation from the given string.,"String: This, is a test-string.","import string

str = ""This, is a test-string.""
str = str.translate(str.maketrans('', '', string.punctuation))
print(str)"
Write a Python script to fetch the current stock price of a given company,name = ABC,"from yahoo_fin import stock_info as si

def get_stock_price(name):
    data = si.get_live_price(name)
    return data

if __name__ == '__main__':
    name = 'ABC'
    print(get_stock_price(name))"
Perform classification on the given dataset using Support Vector Machines in Python.,"X = [[0,0],[1,1],[1,2],[2,2],[2,3]]
y = [0,0,0,1,1]","from sklearn.svm import SVC

model = SVC(kernel = 'linear', probability=True) 
model.fit(X, y)"
Write a Python program that calculates the largest prime factor of a given number.,60,"def is_prime(num):
 for i in range(2, int(num**0.5) + 1):
  if num % i == 0:
   return False
 return True

def largest_prime_factor(n):
 for i in range(2, n + 1):
  if n % i == 0 and is_prime(i):
   lpf = i
 return lpf

print(largest_prime_factor(60))
# Output: 5"
Create a Python program to calculate the factorial of a given integer.,5,"def factorial(n):
    if n == 0:
        return 1

    return n * factorial(n-1)

result = factorial(5)
print(result)"
Convert a given Python function to a JavaScript function.,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)","function factorial(n) {
    if (n == 1) {
        return 1;
    }
    else {
        return n * factorial(n-1);
    }
}"
Write a python code that takes a string as a parameter and returns the number of different words present in that string.,"string=""The quick brown fox jumped over the lazy dog""","def word_count(string):
    words = string.split()
    return len(set(words))

if __name__ == '__main__':
    output = word_count(""The quick brown fox jumped over the lazy dog"")
    print(output)"
Design a program in Python to take two numbers as input and return their product.,"num1 = 5
num2 = 7","def multiply(num1, num2):
    product = num1 * num2
    return product

num1 = 5
num2 = 7

product = multiply(num1, num2)
print('Product of', num1, 'and', num2, 'is', product) # prints 'Product of 5 and 7 is 35'"
"Generate a Python script that takes two arguements, a filename and a number, and prints out all the lines from the filename whose length is less than the number.","file_name = 'sample.txt'
number = 10","import sys

file_name = sys.argv[1]
number = int(sys.argv[2])

with open(file_name, 'r') as f:
 for line in f:
 if len(line) < number:
 print(line, end='')"
Automate the following task to be completed on Python,Determine if a given number is prime or not,"def is_prime(num):
    if num <= 1:
        return False
    for i in range(2, num):
        if num % i == 0:
            return False
        return True"
Create a Python function which takes a list of strings as an input and determines if the list contains palindrome strings (i.e. strings that are the same forward and backwards).,"list_of_strings = [""racecar"", ""cat"", ""mom"", ""noon""]","def is_palindrome(list_of_strings):
  palindrome_list = [string for string in list_of_strings if string == string[::-1]]
  if palindrome_list:
    return True
  return False"
Construct a Python program to combine the elements of two lists into a list of tuples.,"[1, 2, 3], [4, 5, 6]","def combine_list(array1, array2):
    return list(zip(array1, array2))"
Write a Python program to convert a string to a list of characters.,"String ""Hello"".","def str_to_list(str):
    char_list = []
    for c in str:
        char_list.append(c)
    return char_list

print(str_to_list(""Hello"")) #prints ['H', 'e', 'l', 'l', 'o']"
"Write a Python function that takes a string, checks if it is a palindrome and returns true or false.","""level""","def is_palindrome(string):
    rev_string = string[::-1]
    if string == rev_string:
        return True
    else:
        return False 

print(is_palindrome(""level""))"
Write a Python program to insert a given string at the beginning of all items in a list.,"_list = ['digger', 'dog', 'deer']
string = 'The'","_list = ['digger', 'dog', 'deer']
string = 'The'

# Create an empty list to store the modified elements
new_list = []

# Iterate through the old list and create the modified list
for item in _list:
    new_list.append(string + ' ' + item)

# Print the modified list
print(new_list) # Output: ['The digger', 'The dog', 'The deer']"
Edit a python method to assign a grade based on a given exam marks.,"def assign_grade(marks):
    if marks >= 90:
        return 'A'
    elif marks >=80 and marks < 90:
        return 'B'","def assign_grade(marks):
    if marks >= 90:
        return 'A'
    elif marks >= 80 and marks < 90:
        return 'B'
    elif marks >= 70 and marks < 80:
        return 'C'
    elif marks >= 60 and marks < 70:
        return 'D'
    else:
        return 'F'"
Translate a given program written in Python to Java.,"def calculate_mean(numbers):
    total = 0
    for i in numbers:
        total = total + i
    mean = total / len(numbers)
    return mean","public static double calculateMean(int[] numbers) {
    int total = 0;
    for (int i : numbers) {
        total += i;
    }
    double mean = total / numbers.length;
    return mean;
}"
Build a Python function that takes in two integers and returns the greatest common divisor.,4 and 8,"def gcd(a, b):
    if b == 0:
        return a
    return gcd(b, a % b)

print(gcd(4, 8)) # Output: 4"
Generate a python program to print out all the factors of a number n.,n = 10,"def factor_of(n):
    result = []
    for i in range(1, n + 1):
        if n % i == 0:
            result.append(i)
    return result"
Generate a valid python program to calculate the frequency of occurrence of a character in a given string.,"""Hello World!""","def char_frequency(string):
    frequencies = {}
    for char in string:
        if char in frequencies:
            frequencies[char] += 1
        else:
            frequencies[char] = 1
    return frequencies

freq = char_frequency(""Hello World!"")
print(freq)"
Write a Python function to multiply all the numbers in a list.,"[1, 2, 3, 4]","def multiplyList(numbers):
  result = 1
  for x in numbers:
    result = result * x
  return result"
"Using Python, create a program to convert the string 'Hello, world!' to titlecase.","""Hello, world!""","import string

def toTitlecase(inputString):
    return inputString.title()

print(toTitlecase(""Hello, world!""))"
Edit the following code to make it compatible with python 3 syntax,"def divide(x,y):
    return x/float(y)","def divide(x, y):
    return x / y"
Create a function to create a NxN matrix in Python with all elements equal to a given number.,"N=5, num=7","def mat_gen(N, num):
    matrix = [[num for col in range(N)] for row in range(N)]
    return matrix

mat_gen(5, 7)"
Write a function in Python that takes a list of strings and a string as input and adds the string as the last item in the list.,"list=['apple','orange','banana']
string='kiwi'","def add_string_to_list(string_list, string):
 string_list.append(string)
 
 return string_list
 
# sample call
list = ['apple', 'orange', 'banana']
string = 'kiwi'
new_list = add_string_to_list(list, string)

print(new_list)
# ['apple','orange','banana','kiwi']"
Write a Python program to create a dictionary from a given list of integers that contains elements from 1 to the given number.,number = 5,"def create_dict(number):
    dict_N = dict()
    for i in range(1, number+1):
        dict_N[i] = i

    return dict_N

dict_N = create_dict(5)
print(dict_N)"
Write a Python program to remove the nth index character from a nonempty string.,"text = ""Python""
n = 0","def remove_nth_index(text, n):
    return text[:n] + text[n + 1:]"
Modify the given Python function to print out the reversed list first and then find the sum of the numbers.,"def reverse_list(numbers):
 return numbers[::-1]","def reverse_list(numbers):
 reversed_list = numbers[::-1]
 print(reversed_list)
 return sum(reversed_list)"
Modify a python program so that it can sort the list of numbers in ascending order.,"numbers = [3, 5, 9, 1, 2]","numbers = [3, 5, 9, 1, 2] 

numbers.sort() 

print(numbers)"
Write a python script which reformats the json string below,"data = '{""name"":""Jason"",""age"":42,""favorite_food"":""Lasagna""}'","import json

def reformat_json(data):
    data = json.loads(data)
    return json.dumps(data, indent=4)

data = '{""name"":""Jason"",""age"":42,""favorite_food"":""Lasagna""}'
updated_data = reformat_json(data)

print(updated_data)
# {""name"": ""Jason"",
#  ""age"": 42,
#  ""favorite_food"": ""Lasagna""}"
"Create a Python program that reads in a CSV, parse the data, and generates a JSON report.","Name, Age, Profession
John, 25, Engineer
Jane, 30, Developer","import csv
import json
 
csv_file = open('data.csv', 'r')
json_file = open('data.json', 'w')
 
fieldnames = (""Name"",""Age"",""Profession"")
reader = csv.DictReader(csv_file, fieldnames)
out = json.dumps([r for r in reader])
json_file.write(out)"
Write a Python script to fold a given array of integers into two halves.,"[1, 7, 3, 4, 9]","def foldArray(arr): 
    n = len(arr) 
    if n % 2 != 0: 
        mid = int(n / 2) + 1
    else: 
        mid = int(n / 2)
    left = arr[:mid] 
    right = arr[mid:] 
    newarr = list(map(lambda x,y:(x+y),left,right[::-1])) 
    return newarr 

arr = [1, 7, 3, 4, 9] 
print(foldArray(arr))"
Create an algorithm in Python to group the numbers of an array in such a way that the total sum of each group is equal.,"[1, 2, 3, 4, 5, 6, 7, 8]","def group_equal_sum(arr):
    result = []
    arr.sort()

    while len(arr) > 0:
        group = [arr[0]]
        arr.remove(arr[0])

        sum_ = group[0]
        while sum_ in arr:
            group.append(sum_)
            arr.remove(sum_)
            sum_ += 1

        result.append(group)
    return result"
Write a Python script that filters a list of integers and returns only even numbers.,"list = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","def filter_even_numbers(lst):
    # Filter out even numbers from the given list 
    even_numbers = [num for num in lst if num % 2 == 0]
    return even_numbers

list = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
result = filter_even_numbers(list)
print(result)"
"Construct a Python program to read in a sequence of numbers, find the largest number and its position in the sequence.","[3, 2, 5, 1, 9]","sequence = [3, 2, 5, 1, 9]

# finding the largest number
max_num = max(sequence)

# finding the index of the largest number in the sequence
index = sequence.index(max_num)

print(""The largest number in the sequence is:"", max_num)
print(""The position of the largest number in the sequence is:"", index)"
Write a Python program to sort a list of tuples by the second item in each tuple.,"[(5, 5), (4, 4), (3, 3), (2, 2), (1, 1)]","# sort a list of tuples by the second item in each tuple
def sort_tuple(tuples):
    # sort in ascending order
    tuples.sort(key=lambda x: x[1])
    # return the list
    return tuples"
Optimize this code snippet in Python.,"data = [1, 2, 3, 4, 5, 6]
sum = 0

for num in data:
    sum = sum + num","data = [1, 2, 3, 4, 5, 6]
sum = 0

sum = sum + sum(data) # This is more efficient than iterating through the whole list with a `for` loop."
Implement a function in Python that takes an array of strings and returns a list of all strings that have length greater than 6,"[""testing"", ""this"",""array""]","def getStringsWithLength(array):
    output = []
    for x in array:
        if len(x) > 6:
            output.append(x)
    return output

print(getStringsWithLength([""testing"", ""this"",""array""]))"
Improve the efficiency of a Python program by using functions.,"arr = [1, 2, 3, 4, 5]

def calculate(arr):
    sum = 0
    for i in arr:
        sum += i
    print(sum)

calculate(arr)","arr = [1, 2, 3, 4, 5]

def calculate(arr):
    return sum(arr)

def main():
    print(calculate(arr))

if __name__ == '__main__':
    main()"
"Create a Python program to simulate a vending machine with two coins, a quarter and a dime.",No input,"class VendingMachine:
    def __init__(self):
        self.coins_inserted = 0

    def insert_coins(self, quarters, dimes):
        self.coins_inserted += quarters * 25 + dimes * 10

    def get_coins_inserted(self):
        return self.coins_inserted"
Write a python function to parse a list of strings and extract the date that appears at the end of the strings?,"list_of_strings = [""April 11th, 2019"", ""July 2nd, 2018"", ""October 16th, 2012""]","def parse_list_of_strings(list_of_strings):
    date_list = []
    for string in list_of_strings:
        date_to_add = datetime.strptime(string, '%B %dth, %Y')
        date_list.append(date_to_add)
    return date_list"
Write a Python program to check if a number is prime by eliminating the multiples of all numbers from 2 to the square root of the number.,n = 99,"import math

def is_prime(n):
    for i in range(2, int(math.sqrt(n))+1):
        if n % i == 0:
            return False
    return True

print(is_prime(n))"
Create an logging utility in Python that prints the timestamp along with the logged content for each log entry.,.,"import datetime

def log(content):
 timestamp = datetime.datetime.now().strftime(""%Y-%m-%d %H:%M:%S"")
 message = f""{timestamp}: {content}""
 print(message)
 
log('Logging Message')"
Create a function in Python that finds the common elements two arrays.,"arr1 = [1, 2, 3, 4, 5]
arr2 = [2, 3, 6, 7, 8]","def find_common_elements(arr1, arr2):
  common = []
  for element in arr1:
    if element in arr2:
      common.append(element)
  return common

arr1 = [1, 2, 3, 4, 5]
arr2 = [2, 3, 6, 7, 8]

print(find_common_elements(arr1, arr2))"
Create a Python script to calculate the sum of the numbers in a list given as input.,"list = [1, 5, 10, 30]","def sum_list(list):
    total = 0
    for i in list:
        total += i
    return total

print sum_list(list)"
Create a program in Python that takes a collection of numbers as input and calculates their mean.,"[1, 4, 6, 8, 12]","def calculate_mean(nums):
    mean = 0
    for num in nums:
        mean += num
    mean /= len(nums)
    return mean"
Create a Python program for filtering a given list of numbers and returning the even numbers.,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","def filter_even_numbers(numbers):
  even_numbers = []
  for number in numbers:
    if number % 2 == 0:
      even_numbers.append(number)
  return even_numbers

numbers = [1, 2, 3, 4, 5, 6, 7, 8, 9]
print(filter_even_numbers(numbers))"
Write a Python function to check whether a number is in a given range.,"num = 10
lower = 10
upper = 20","def check_range(num, lower, upper):
        return (num >= lower and num <= upper)
 
print(check_range(10, 10, 20)) # prints True"
"Given a function that takes a string as an argument, write a Python code snippet to capitalize the first letter of every word in the string.",def capitalize_string(str):,"def capitalize_string(str):
    words = str.split(' ')
    capitalized_words = [word.capitalize() for word in words]
    capitalized_string = ' '.join(capitalized_words)
    return capitalized_string"
Create a program in Python that will filter a list of numbers by removing any number divisible by 3.,"[2, 4, 7, 8, 10, 12, 15, 20]","def filter_by_three(numbers):
    filtered_numbers = []
    for num in numbers:
        if num % 3 != 0:
            filtered_numbers.append(num)
    return filtered_numbers

print(filter_by_three([2, 4, 7, 8, 10, 12, 15, 20]))"
Optimize this while loop in the given Python code.,"i = 0
while i < 5:
    i += 1
    print(i)","i = 0
while i < 5:
    print(i)
    i += 1"
"Create a Python program to calculate the total cost of a trip, given the cost of the flight, hotel, and other expenses.","Flight Cost: $500
Hotel Cost: $350
Other Expenses: $200","# Calculate the total cost

flight_cost = 500
hotel_cost = 350
other_expenses = 200
total_cost = flight_cost+hotel_cost+other_expenses

print(f""The total cost of the trip is ${total_cost}"")"
Write a Python algorithm that finds the factorial of a given number.,5,"def factorial(n):
    if n == 0:
        return 1
    
    return n * factorial(n-1)"
Write a Python program to get the index of the largest item in a given list.,"[4, 3, 5, 7, 6]","# get the index of the largest item in a list
def get_max_index(arr):
    max_index = 0
    for i in range(1, len(arr)):
        if arr[i] > arr[max_index]:
            max_index = i
    return max_index

result = get_max_index([4, 3, 5, 7, 6])
print(result) # 3"
Can you write a code snippet to flatten a 2D array in Python?,"[[1, 2, 3], [4, 5, 6], [7, 8, 9]]","def flatten_2d_array(arr):
    flattened_arr = []
    for row in arr:
        for item in row:
            flattened_arr.append(item)
    return flattened_arr

arr = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]
flattened_arr = flatten_2d_array(arr)
print(flattened_arr)"
Compute the median of a sequence of numbers in Python.,"Sequence: [3, -2, 4, 7, 10, 12, 11, -4, 8]","import statistics 
sequence = [3, -2, 4, 7, 10, 12, 11, -4, 8]
median = statistics.median(sequence) 
print(median) # Output: 7"
Write a python program to convert a number into a list of its digits,235,"def number_to_digits(number):
  digits = []
  while (number>0):
    digits.append(number % 10)
    number = number // 10
  
  digits.reverse()
  return digits"
Construct a decision tree in Python using the given data set.,"import pandas as pd

data = { 
    'Skewness': ['low', 'high', 'medium'], 
    'Target': ['yes', 'no', 'yes'] 
}

df = pd.DataFrame(data)","from sklearn import tree

features = ['Skewness']
X = df[features]
y = df['Target']

clf = tree.DecisionTreeClassifier(random_state=0)
clf = clf.fit(X, y)"
Write a Python code snippet to search for a given number in the given array.,"arr = [5, 8, 2, 10, 48, 41], number = 8","def search(arr, number): 
    for i in range(len(arr)): 
        if arr[i] == number: 
            return True
    return False
  
arr = [5, 8, 2, 10, 48, 41] 
number = 8
if search(arr, number): 
    print(""Number found"") 
else: 
    print(""Number not found"")"
Find and fix the errors in the following Python code snippet.,"def multiplying():
retrun x * y","def multiplying(x, y): 
    return x * y"
Modify the following code in Python to check if a number is prime or not.,"def checkPrime(n):
    for i in range(2,n):
        if n%i==0:
            return False
    return True","def checkPrime(n):
    if n <= 1:
        return False

    for i in range(2,n):
        if n % i == 0:
            return False
    
    return True"
Program a Python class for handling employee data.,class Employee:,"class Employee:
    def __init__(self, name, age, salary, company):
        self.name = name
        self.age = age
        self.salary = salary
        self.company = company
    def get_details(self):
        return ""{}, {}, {}, {}"".format(self.name, self.age, self.salary, self.company)"
Create a Python script to find the Fibonacci series which is a sequence of numbers where every number is the addition of the previous two numbers.,n = 10,"def fibonacci(n): 
    if n == 0: return 0
    if n == 1 or n == 2: return 1

    fib_n_2 = 1
    fib_n_1 = 1
    fib_n = 0

    for i in range(3, n + 1): 
        fib_n = fib_n_1 + fib_n_2
        fib_n_2 = fib_n_1  
        fib_n_1 = fib_n 
    return fib_n 

print(fibonacci(n))"
"Create a program in Python which will take in a list of strings, and print out the longest string in the list.","['foo', 'test', 'longstring', 'bar']","def longest_string(str_list): 
    longest_str = '' 
    for str in str_list: 
        if len(str) > len(longest_str): 
            longest_str = str 
  
    return longest_str 

string_list = ['foo', 'test', 'longstring', 'bar'] 
long_string = longest_string(string_list) 

print(long_string)"
Construct a python program to create a dictionary containing a list of student grades,"James: 95
Alice: 80
John: 75","grades_dict = {
  ""James"": 95,
  ""Alice"": 80,
  ""John"": 75
}"
Calculate the sum of the numbers in this list in Python.,"lst = [3, 5, 8, 9]","# Calculate the sum of the numbers in the list
total = sum(lst)

# Print the result
print(total) # prints 25"
Create a function in Python to find all unique combinations of numbers from a given list.,"[1, 2, 3, 4]","def find_unique_combos(lst):
    combos = []
    for i in range(len(lst)):
        for j in range(i+1, len(lst)+1):
            combos.append(lst[i:j])
    return list(set(tuple(x) for x in combos))

print(find_unique_combos([1,2,3,4]))"
Create a function in Python that takes a string as an argument and replace all vowels with underscores.,teststring,"def replace_vowels(input_string):
    vowels = [""a"", ""e"", ""i"", ""o"", ""u"", ""A"", ""E"", ""I"", ""O"", ""U""]
    output_string = ''
    for s in input_string:
        if s in vowels:
            output_string += '_'
        else:
            output_string += s
    return output_string

result = replace_vowels('teststring')
print(result)"
Generate a Python program to find the index of an item in the given list.,"arr = [3,7,2,5]","def find_index(arr, item):
    for i, value in enumerate(arr):
        if item == value:
            return i
    return -1"
Design a Python code to detect and remove duplicate elements from a given array.,"[12, 34, 11, 12, 23, 11]","def remove_duplicates(arr): 
    result = [] 
    for i in arr: 
        if i not in result: 
            result.append(i) 
    return result

arr = [12, 34, 11, 12, 23, 11]
result = remove_duplicates(arr)
print(result) // Prints [12, 34, 11, 23]"
How can you improve the following python function to make it run more quickly?,"def find_target(numbers, target):
    for number in numbers:
        if number == target:
            return True
    return False","def find_target(numbers, target):
    """"""This function returns True if the target is present in the given list of numbers.""""""
    # Use set to improve the lookup performance
    num_set = set(numbers)
    if target in num_set:
        return True
    return False"
Create a Python program that takes a varchar input and encodes it using the Base 64 algorithm.,"""Hello World!""","import base64

string = ""Hello World!""

data_bytes = string.encode('ascii')
encoded_string = base64.b64encode(data_bytes)

print(encoded_string)"
Create a Python code to delete the last element in a list.,"[1, 2, 2, 4, 4]","def delete_last(lst):
    return lst[:-1]

result = delete_last([1, 2, 2, 4, 4])
print(result)"
Implement a function in Python to reverse a given list of numbers.,"List: [1, 2, 4, 7, 9]","def reverseList(list):
    start = 0
    end = len(list) - 1
  
    while start < end:
        list[start], list[end] = list[end], list[start]
        start += 1
        end -= 1
  
    return list

list = [1, 2, 4, 7, 9]

reverseList(list)
# Output: [9, 7, 4, 2, 1]"
Write a Python code to compare two list and print the elements which are common between them.,"list1 = [2, 3, 5, 8]
list2 = [1, 4, 5, 9]","list1 = [2, 3, 5, 8]
list2 = [1, 4, 5, 9]

common_elements =  [element for element in list1 if element in list2]

print(common_elements)"
Write a Python script that takes a list of integers and checks if any two numbers sum up to a given target.,"[3, 2, 5, 7], target = 9","def checkSum(arr, target): 
 for i in range(len(arr)): 
 for j in range(i + 1, len(arr)): 
 if arr[i] + arr[j] == target: 
 return True

 return False

nums = [3, 2, 5, 7]
target = 9

print(checkSum(nums, target)) # output: True"
Write a Python program to check whether a number is divisible by 7 or not.,92,"number = 92

if (number % 7) == 0:
    print(""The number is divisible by 7"")
else:
    print(""The number is not divisible by 7"")"
"Edit the following Python code to implement case-insensitivity and replace ""word"" with a user-defined variable.","word = 'SUPER'

if word == 'super' or word == 'SUPER':
 print('Object found')","word = input('Enter word: ')

if word.lower() == 'super':
 print('Object found')"
Modify this Python program to print the greatest common divisor of two numbers.,"num1 = 5, num2 = 6","def gcd(x, y):
    while y != 0:
        (x, y) = (y, x % y)
    return x

num1 = 5
num2 = 6

print(""GCD is:"", gcd(num1, num2))"
Generate a program in Python which takes a list of integers as an argument and prints the odd numbers in ascending order.,"list = [1, 2, 3, 4, 5, 6, 7]","def print_odd_numbers(numbers):
    for num in sorted(numbers):
        if num % 2 != 0:
            print(num)

print_odd_numbers([1, 2, 3, 4, 5, 6, 7])
# Output: 1, 3, 5, 7"
Write a Python function to calculate the average grade for a given list of student grades.,"[90, 99, 75, 72, 85]","def average_grade(grades):
 total = 0
 for grade in grades:
 total += grade
 return total / len(grades)

>>> average_grade([90, 99, 75, 72, 85])
84.2"
Create a function in Python that takes two strings as arguments and returns the first string repeated as many times as specified by the second argument.,Abstract,"def repeat_string (string, repeat):
    """"""Return the supplied string repeated as many times as specified.""""""
    
    repeated_string = string * repeat
    
    return repeated_string
    
print(repeat_string(""Abstract"", 3)) # Output: AbstractAbstractAbstract"
"Given a sample data set, write a Python program to remove all rows that have missing values.","name  age	nationality
John  22	Nigerian
Steve	null	American
Harry	25	British","import pandas as pd

data = {
   'name': ['John', 'Steve', 'Harry'],
   'age': [22, None, 25],
   'nationality': ['Nigerian', 'American', 'British']
}

df = pd.DataFrame(data)
df = df.dropna()

print(df)"
Create a Python function to print out all the words in a given string with the letter e.,"str = ""Hello World""","def print_words_with_e(str): 
    words = str.split() 
    for word in words: 
        if 'e' in word: 
            print(word) 

print_words_with_e(str)"
Write a python program to sort a list of tuples based on their second element.,"list = [('dog', 6), ('cat', 4), ('rabbit', 2)]","list = [('dog', 6), ('cat', 4), ('rabbit', 2)]

list.sort(key=lambda x: x[1])

print(list)"
Write a code in Python that takes a given string and removes all spaces from the string.,"""Hello World""","def remove_spaces(str): 
    new_str = """"
	
    # loop through each character in the string
    for letter in str: 
        if letter != "" "":
            new_str = new_str + letter 
		
    return new_str 

# main program
str = ""Hello World""
new_str = remove_spaces(str)

#print the new string
print(""String without spaces:"", new_str)"
Set up conditions for a for-loop for iterating over a dictionary in Python.,"dict = {""Apple"": 10, ""Orange"": 20, ""Banana"": 30}","keys = dict.keys()
for i in keys:
    value = dict[i]
    print(i, "":"", value)"
Write a python code snippet to reverse each word of the given sentence.,sentence = 'Hello world',"def reverse_string(string): 
    words = string.split() 
      
    reversed_string = [word[::-1] for word in words]
    return ' '.join(reversed_string)

reverse_string(sentence) //Returns 'olleH dlrow'"
Please provide a python code snippet that counts the number of words in a given sentence.,"my_string = ""This is a sentence with five words.""","my_string = ""This is a sentence with five words.""
words = my_string.split("" "")
print(len(words))"
